,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
11,,129,,Si,Si,,,guadalajara,Si,1,,,,,Gres,,,,,1900,,,Piedra,,,,,,,,103,,,,Si,Noroeste,,,Mas de 25 Años,,,,6,2,,,98500,Si,Perfecto Estado
12,,148,,Si,,Individual,,guadalajara,,,,,Eléctrica,,Gres,,,,,1937,,,Piedra,,,,,,,,139,,,,,Sur,,,Más de 50 años,Si,,,4,1,Si,,99000,Si,
13,,87,,Si,,Gas natural,,guadalajara,Si,1,,,Gas Natural,,Sintasol,,,,,1967,,2,Ladrillo,,,,,,,,83,,,,Si,,,,Más de 50 años,,,,3,1,Si,,99000,,A reformar
14,Si,47,,Si,,Individual,,guadalajara,,1,,,Individual,2,Tarima Flotante,,,,,2009,,,Ladrillo,Si,,,,Si,,,40,Si,,,Si,Noreste,,,Entre 20 y 25 Años,,Si,,1,1,,,114900,Si,Perfecto Estado
15,Si,100,,Si,,Gas natural,,guadalajara,,,,,Individual,,Baldosa,,,,,1977,,,Cemento,,,,,Si,,"80,00 €",92,,,,,,,,Entre 35 y 50 Años,,,,3,1,Si,,119000,Si,A reformar
16,Si,70,,Si,,Individual,,guadalajara,,,,,Gas Natural,1,Gres,,,,,,,,Ladrillo,,,,,Si,,,62,,,,,,,,Mas de 25 Años,,,,2,1,,,119000,Si,Depende del precio
17,,101,,Si,,,,guadalajara,Si,,Si,,Gasóleo,2,Gres,,,,,1995,Si,,Piedra,Si,,,,,,,92,,,,,Este,,,Mas de 25 Años,Si,,,3,2,,,119000,,Perfecto Estado
18,,60,,,,Central,,guadalajara,Si,,,,,,Tarima Flotante,,,,,1995,,2,Ladrillo,,,,,,,,55,,,,,,,,Entre 35 y 50 Años,,,,3,1,Si,,125000,Si,Depende del precio
19,,62,,Si,,Individual,,guadalajara,Si,1,,,Individual,,Terrazo,,,,,,,,Mono Capa,,,,,Si,,,59,,,,,,,,Mas de 25 Años,,,,3,1,,,129000,Si,A reformar
20,Si,98,8,,,Individual,,guadalajara,Si,1,,,Individual,,Baldosa,,,,,1977,,1,Ladrillo,,,,,Si,,,94,,,,,,,,Mas de 25 Años,,,,3,1,,,130000,,A reformar
21,,100,,Si,,Colectiva,,guadalajara,Si,,,,Gasóleo,1,Tarima Flotante,,,,,2009,,,Ladrillo,,,,,Si,,,100,,,,,Sur,,,,,,,3,2,,,135000,Si,Perfecto Estado
22,Si,73,,Si,,Individual,,guadalajara,Si,1,,,Gas Natural,,Terrazo,,,,,1969,,1,Ladrillo,,,,,Si,,,60,,Si,,,Este,,,Mas de 25 Años,,,,3,1,,,136000,Si,Depende del precio
23,Si,80,,Si,,Gas natural,,guadalajara,Si,1,,,Gas Natural,,Parquet,,,,,1965,,3,Mono Capa,,,,,Si,,"60,00 €",76,Si,,,,Sureste,,,Más de 50 años,,,,3,1,,,139000,Si,Depende del precio
24,,71,2,,,Individual,,guadalajara,Si,1,,,Individual,,Baldosa,,,,,1992,,1,Ladrillo,,,,,,,"27,00 €",68,,,,,,,,Mas de 25 Años,,,,2,1,Si,,143000,Si,Perfecto Estado
25,,91,,Si,,Individual,,guadalajara,Si,1,,,Gas Natural,,Tarima normal,,,,,,,,Ladrillo,,,,,,,"20,00 €",80,,Si,,Si,Oeste,,,Mas de 25 Años,,,,4,1,,,149000,Si,Depende del precio
26,,78,2,,,,,guadalajara,Si,,,,Eléctrica,1,Baldosa,,,,,2008,,1,Ladrillo,,,,,,,,75,,,,Si,,,,Entre 15 y 20 Años,,,,2,2,Si,,149000,Si,Depende del precio
27,,84,2,,,,,guadalajara,Si,,,,Gas Natural,,Tarima Flotante,,,,,2008,,2,Ladrillo,,,,,,,"22,00 €",78,,,,,,,,Entre 15 y 20 Años,,,,2,2,Si,,150000,Si,Perfecto Estado
28,,83,,,,Individual,,guadalajara,Si,,,,Individual,,Baldosa,,,,,2008,,2,Ladrillo,,,,,,,"40,00 €",80,,,,,,,,Entre 15 y 20 Años,,,,2,2,Si,,154900,Si,Depende del precio
29,Si,86,4,Si,,Gas natural,,guadalajara,,,,,Gas Natural,,Parquet,,,,,1979,,,Ladrillo,,4,,,Si,,,69,,Si,,,Noroeste,,,Entre 35 y 50 Años,,,,3,1,,,155000,Si,Perfecto Estado
30,,87,,Si,,Individual,,guadalajara,Si,1,,,Individual,1,Parquet,,,,,1980,,2,Ladrillo,,,,,Si,,,72,,,,,Suroeste,,,Entre 35 y 50 Años,,,,3,1,,,159000,Si,Perfecto Estado
31,Si,90,,Si,,Individual,,guadalajara,Si,1,,,Gas Natural,,Gres,,,,,1975,,,Ladrillo,,,,,Si,,,75,,,,,Sureste,,,Mas de 25 Años,,,,3,1,,,165000,,Perfecto Estado
32,,87,,Si,,Gas natural,,guadalajara,,,,,Gas Natural,,Parquet,,,,,,,,Ladrillo,,,,,,,,75,,Si,,,Este,,,Entre 15 y 20 Años,,,,2,2,,,165000,,Perfecto Estado
33,,111,2,,,Gas natural,,guadalajara,Si,,,,Gas Natural,,Tarima Flotante,,,,,2007,,3,Ladrillo,,,,,,,,98,,Si,,Si,,,,Entre 15 y 20 Años,,,,3,2,,,165000,Si,Perfecto Estado
34,,102,2,,,Individual,,guadalajara,Si,,,,Individual,1,Parquet,,,,,1994,,2,Ladrillo,,,,,,,,84,,Si,,Si,,,,Mas de 25 Años,,,,2,2,Si,,169900,Si,Depende del precio
35,,99,,Si,Si,Individual,,guadalajara,Si,,,,Eléctrica,2,Gres,,,,,2004,,4,Mono Capa,,,,,,,,95,,Si,,,Oeste,,,Entre 15 y 20 Años,,,,3,2,,,175000,Si,Perfecto Estado
36,Si,118,1,Si,,Individual,,guadalajara,Si,1,Si,Si,Gas Natural,1,Parquet,Si,,,,2007,Si,3,Ladrillo,,,,,Si,,,110,,,Si,,Noroeste,,,Entre 15 y 20 Años,,,,3,2,,,181000,Si,Perfecto Estado
37,,135,3,,,Individual,,guadalajara,Si,,,,Individual,1,Tarima Flotante,,,,,2006,,3,Ladrillo,,,,,Si,,"70,00 €",102,,Si,,Si,,,,Entre 15 y 20 Años,,,,3,2,,,189000,Si,Depende del precio
38,,103,,Si,,Individual,,guadalajara,Si,,,,Gas Natural,1,Gres,,,,,1998,,1,Ladrillo,,,,,Si,,,86,,Si,,Si,,,,Mas de 25 Años,,,,4,2,,,189000,Si,Perfecto Estado
39,,240,,Si,,Individual,,guadalajara,Si,,,,Gasóleo,,Tarima Flotante,,,,Si,2006,,3,Ladrillo,,,,,,,,220,,,,,Oeste,,,Entre 15 y 20 Años,,,,4,3,,,193000,Si,Depende del precio
40,,124,,Si,Si,Individual,,guadalajara,Si,,Si,,Gasóleo,1,Gres,,,,,1997,,,Ladrillo,,,,,,,,115,Si,,,Si,,,,Entre 20 y 25 Años,,,,5,3,,,195000,,Perfecto Estado
41,,137,2,Si,,Individual,,guadalajara,Si,,,,Eléctrica,,Baldosa,,,,,1992,,2,Ladrillo,Si,,,,,,,123,,,,,Noreste,,,Entre 25 y 35 años,,,,6,2,,,199000,,Perfecto Estado
42,Si,158,,Si,,Gas natural,,guadalajara,Si,2,,,Gas Natural,1,Tarima normal,,,,,2010,,3,Ladrillo,,,,,Si,,"40,00 €",108,Si,,,Si,Suroeste,,,Entre 10 y 15 Años,,,,3,2,Si,,219000,Si,Perfecto Estado
43,Si,137,,Si,,Gas natural,,guadalajara,Si,1,Si,,Gas Natural,2,Tarima normal,Si,,,,,Si,3,,,,,,Si,,,114,Si,Si,Si,Si,Oeste,,,Entre 15 y 20 Años,,,,3,2,Si,,236000,,Perfecto Estado
44,Si,129,,Si,,Individual,,guadalajara,Si,,Si,,Individual,1,Parquet,Si,,,,,Si,4,Ladrillo,,,,,Si,,,98,Si,,,,,,,Entre 15 y 20 Años,,,,3,2,Si,,244900,Si,Perfecto Estado
45,Si,140,11,Si,,Central,,guadalajara,Si,1,,Si,Central,1,Parquet,,,,,1980,Si,,Ladrillo,,44,,,Si,,,128,,,,,Suroeste,,,Mas de 25 Años,,,,4,2,,,246000,Si,Depende del precio
46,,110,,,,Central,,guadalajara,Si,,,,Central,1,Parquet,,,,,1990,,3,Ladrillo,,,,,Si,,,95,,,,,Norte,,,Entre 25 y 35 años,,,,4,2,Si,,250000,Si,Perfecto Estado
47,,219,2,,,Gas natural,,guadalajara,Si,,Si,Si,Gas Natural,2,Gres,,Si,,Si,2004,Si,,Ladrillo,Si,,,,,,"50,00 €",203,,,Si,Si,,,Si,Entre 15 y 20 Años,,,,4,2,,,267000,Si,Perfecto Estado
48,,176,,Si,,Individual,,guadalajara,Si,,Si,Si,Gas Natural,1,Gres,,,,Si,2005,Si,,Ladrillo,Si,,,,,,,168,,,Si,,Noroeste,,,Entre 20 y 25 Años,,,,3,3,,,269000,Si,Perfecto Estado
49,,183,,Si,,Gas natural,,guadalajara,Si,,,,Gas Natural,1,Gres,,,,Si,2002,,,Ladrillo,,,,,,,,151,,Si,,,Suroeste,,,Entre 20 y 25 Años,,,,4,3,,,275000,Si,Perfecto Estado
50,,177,,Si,,Gas natural,,guadalajara,,,,,Individual,,Tarima Flotante,,,,Si,2004,,4,Ladrillo,,,,,,,,168,,,,,Noroeste,,,Entre 15 y 20 Años,,,,4,4,,,279000,,Perfecto Estado
51,,226,,Si,Si,Individual,,guadalajara,,1,Si,,Biomasa,2,Gres,,,,,2004,Si,,Ladrillo,,,,,,,,201,Si,,,Si,Noreste,,Si,Entre 20 y 25 Años,,,,3,2,,,279000,,Depende del precio
52,,253,2,,,,,guadalajara,Si,2,Si,,Gasóleo,1,Gres,,,,Si,1969,Si,,Ladrillo,,,,,,,,,,,,Si,,,,Más de 50 años,,,,5,1,Si,,300000,Si,A reformar
53,,412,2,,,Gas natural,,guadalajara,Si,,Si,,Gas Natural,1,Tarima Flotante,,,,Si,1997,Si,1,Ladrillo,,,,,,,,159,,Si,,Si,,,,Mas de 25 Años,,,,4,3,Si,,310000,Si,Perfecto Estado
54,,419,2,Si,Si,Individual,,guadalajara,Si,,Si,,Gasóleo,5,Baldosa,,,,,1987,Si,7,Ladrillo,,,,,,,,402,Si,,,,Noroeste,,,Mas de 25 Años,,,,5,3,Si,,329000,,Depende del precio
55,,303,3,Si,Si,Individual,,guadalajara,Si,,Si,,Gasóleo,,Parquet,,,,,2004,,6,Ladrillo,,,,,,,,278,,Si,,,Noreste,,,Entre 20 y 25 Años,,,,7,4,,,549000,Si,Perfecto Estado
56,Si,83,,,,Gas natural,,guadalajara,Si,,Si,,Gas Natural,1,Tarima Flotante,,,,,2007,Si,2,Ladrillo,Si,,Si,,Si,,"59,00 €",70,Si,Si,,Si,,,,Entre 10 y 15 Años,,,,2,1,Si,,160000,Si,Perfecto Estado
57,,177,5,Si,,Individual,,guadalajara,Si,,,,,,,,,,,1994,,,Ladrillo,,,,,Si,,,124,,,,,,,,Mas de 25 Años,,,,4,2,,,50000,,A reformar
58,,206,,Si,Si,Individual,,guadalajara,Si,,,,Gasóleo,,Gres,,,,,1900,,2,,,,,,,,,195,,,,Si,Oeste,,,Entre 35 y 50 Años,,,,5,2,,,69000,,Perfecto Estado
59,,91,,Si,,Individual,,guadalajara,,1,,,Gas Natural,,Parquet,,,,,,,2,Ladrillo,,,,,,,"75,00 €",80,,,,Si,Oeste,,,Mas de 25 Años,,,,3,1,,,75000,Si,A reformar
60,,140,,Si,,Individual,,guadalajara,Si,,,,Eléctrica,1,Tarima Flotante,,,,,2009,,,Ladrillo,,,,,Si,,,125,,,,Si,,,,Entre 15 y 20 Años,,,,3,2,,,80000,Si,Perfecto Estado
61,,71,4,Si,,Gas natural,,guadalajara,Si,1,,,,,Tarima Flotante,,,,,1972,,,Ladrillo,,4,,,,,"20,00 €",66,Si,,,,,,,Entre 35 y 50 Años,,,,3,1,,,85000,Si,A reformar
62,,102,,Si,Si,Individual,,guadalajara,Si,,Si,,Eléctrica,1,Terrazo,,,,,1975,,,Ladrillo,,,,,,,,95,,,,,Sur,,,Más de 50 años,,,,4,2,,,89000,,Depende del precio
63,,81,,Si,,Central,,guadalajara,Si,1,,,Central,,Gres,,,,,1967,,1,Ladrillo,,,,,,,,72,,,,Si,,,,Mas de 25 Años,,,,3,1,,,90000,Si,Perfecto Estado
64,,85,,Si,,Individual,,guadalajara,Si,1,,,Individual,,Parquet,,,,,1969,,1,Ladrillo,,,,,Si,,,78,,,,,Noreste,,,Más de 50 años,,,,3,1,,,90000,Si,Perfecto Estado
65,,101,,Si,Si,Individual,,guadalajara,Si,,,,Gasóleo,,Tarima Flotante,,,,,1995,,,Mono Capa,,,,,,,,92,,,,,Sureste,,,Entre 20 y 25 Años,,,,3,2,Si,,90000,Si,Depende del precio
66,,78,,Si,,Individual,,guadalajara,Si,,,,Gas Natural,,Baldosa,,,,,,,,Ladrillo,,,,,,,,68,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,91000,Si,Depende del precio
67,,65,,Si,,Gas natural,,guadalajara,Si,1,Si,Si,Gas Natural,2,,Si,,,,2007,Si,2,Ladrillo,,1,,,Si,,,58,,,Si,Si,Oeste,,,Entre 15 y 20 Años,,,,1,1,,,99000,Si,Perfecto Estado
68,,90,,,,,,guadalajara,Si,,,,,,Tarima normal,,,,,2011,,,Ladrillo,,,,,Si,,,65,,,,Si,,,,Entre 10 y 15 Años,,,,1,1,,,99000,Si,Perfecto Estado
69,,60,,Si,,Individual,,guadalajara,Si,,,,Gas Natural,,Tarima normal,,,,,2004,,3,Ladrillo,,,,,Si,,,55,,Si,,,Noreste,,,Entre 15 y 20 Años,,,,1,1,,,99900,Si,Perfecto Estado
70,,82,,Si,,Central,,guadalajara,Si,,,,Central,1,Baldosa,,,,,1969,,1,Ladrillo,,,,,Si,,"47,50 €",61,,,,,,,,Entre 35 y 50 Años,,,,3,1,Si,,105000,Si,A reformar
71,Si,82,,Si,,Individual,,guadalajara,Si,1,,,Individual,1,Gres,,,,,1975,,3,Cemento,,,,,Si,,"80,00 €",73,,,,Si,,,,Entre 35 y 50 Años,,,,3,1,,,105000,,Depende del precio
72,,69,,,,,,guadalajara,Si,,,,Individual,1,Gres,,,,,2003,,,Ladrillo,,,,,Si,,"34,00 €",50,,Si,,,,,,Entre 20 y 25 Años,,,,1,1,Si,,105900,Si,Perfecto Estado
73,,68,,,,,,guadalajara,Si,1,,,Individual,,Tarima normal,,,,,1975,,3,Ladrillo,,,,,,,,62,,,,Si,,,,Entre 35 y 50 Años,,,,3,1,Si,,106000,,Perfecto Estado
74,,70,,,,Gas natural,,guadalajara,Si,1,,,Gas Natural,,Gres,,,,,1969,,,Ladrillo,,,,,,,,66,,,,,,,,Más de 50 años,,,,3,1,,,106000,Si,A reformar
75,,51,,Si,,Colectiva,,guadalajara,,,,,Individual,,Porcelánico,,,,,1968,,2,Ladrillo,,,,,,,,41,Si,,,,Noroeste,,,Entre 35 y 50 Años,,,,2,2,,,107000,,Perfecto Estado
76,,90,,,,Individual,,guadalajara,Si,,Si,,,,Gres,,,,,1996,,2,Ladrillo,,,,,,,"70,00 €",85,,,,,,,,Entre 20 y 25 Años,,,,3,2,,,108000,,A reformar
77,,78,4,,,,,guadalajara,Si,1,,,Eléctrica,1,Gres,,,,,1995,,,,,,,,,,"45,00 €",,,,,,,,,Entre 25 y 35 años,,,,3,1,,,110000,Si,Perfecto Estado
78,,55,,,,,,guadalajara,,1,,,Eléctrica,,Tarima normal,,,,,1966,,,Mono Capa,,,,,,,"25,00 €",52,,,,,,,,Más de 50 años,,,,2,1,,,113000,,Perfecto Estado
79,,64,,,,Individual,,guadalajara,Si,,,,Gasóleo,,Gres,,,,,1998,Si,1,Mono Capa,Si,,,,Si,,"70,00 €",61,,,,,,,,Entre 20 y 25 Años,,,,2,1,,,115000,Si,Perfecto Estado
80,,90,2,,,,,guadalajara,Si,,,,Individual,,Gres,,,,,2009,,1,Ladrillo,,,,,Si,,"70,00 €",78,,,,,,,,Entre 15 y 20 Años,,,,2,2,Si,,115000,Si,Perfecto Estado
81,Si,77,,Si,,Colectiva,,guadalajara,Si,1,,,Colectiva,,Parquet,,,,,,,,Ladrillo,,,,,Si,,"60,00 €",70,,,,,Oeste,,,Más de 50 años,,,,4,1,Si,,119000,Si,A reformar
82,,74,,Si,,,,guadalajara,,,,,,,Gres,,,,,1971,,,Ladrillo,,,,,,,,71,Si,Si,,Si,,,,Entre 35 y 50 Años,,,,3,1,,,119000,,Depende del precio
83,,67,,,,,,guadalajara,,1,,,Gas Natural,,Gres,,,,,1998,,,Mono Capa,,,,,,,"35,00 €",62,,Si,,,,,,Entre 20 y 25 Años,,,,2,1,,,119000,Si,Perfecto Estado
84,,88,,,,,,guadalajara,,,,,,,Gres,,,,,1978,,,Ladrillo,,,,,Si,,,84,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,119000,,A reformar
85,,89,,,,,,guadalajara,Si,,Si,,Eléctrica,1,Gres,,,,,1996,Si,,Ladrillo,,,,,,,"61,00 €",80,,Si,,,,,Si,Entre 25 y 35 años,,,,3,2,Si,,119500,Si,Perfecto Estado
86,,73,4,Si,,Individual,,guadalajara,,2,,,Individual,,Gres,,,,,1964,,1,Cemento,,,,,,,,65,,,,,,,,,,,,3,1,Si,,119900,Si,Perfecto Estado
87,,70,,Si,,Central,,guadalajara,,1,,,Central,1,Parquet,,,,,,,,Ladrillo,,,,,Si,,"75,00 €",65,,,,,,,,Mas de 25 Años,,,,3,1,,,120000,Si,Depende del precio
88,Si,69,,Si,Si,Individual,,guadalajara,,,,,Gas Natural,1,Tarima Flotante,,,,,,,2,Ladrillo,,,,,Si,,,62,,,,,Suroeste,,,Entre 15 y 20 Años,,,,2,1,,,124000,Si,Depende del precio
89,,78,2,Si,,Individual,35 KW h/m² año,guadalajara,Si,1,,,Gas Natural,,Parquet,,,,,1998,,,Ladrillo,,,,,,,"50,00 €",75,,,,,Noreste,,,Mas de 25 Años,,,,2,2,Si,167 Kg CO2/m² año,124500,Si,Perfecto Estado
90,,100,,,,,,guadalajara,Si,,Si,,,,Gres,,,,Si,2006,Si,,Ladrillo,,,,,,,,95,,Si,,Si,,,,Entre 15 y 20 Años,,,,2,2,Si,,125500,Si,Perfecto Estado
91,,71,,Si,,,,guadalajara,Si,1,,,Gas Natural,,Tarima normal,,,,,1965,,3,Ladrillo,,,,,,,,68,Si,Si,,,,,,Entre 35 y 50 Años,,,,3,1,Si,,127000,Si,Perfecto Estado
92,,118,,Si,Si,Individual,,guadalajara,Si,,Si,Si,Gasóleo,1,Gres,,,,,1995,Si,,Piedra,Si,,,,,,"200,00 €",110,,,Si,,Sureste,,,Entre 25 y 35 años,,Si,,4,2,,,129000,Si,Depende del precio
93,,77,,Si,,Central,,guadalajara,Si,,,,Central,,Gres,,,,,1970,,1,Ladrillo,,,,,Si,,,70,,Si,,,,,,Más de 50 años,,,,4,1,,,129000,Si,Perfecto Estado
94,,80,,,,,,guadalajara,Si,1,,,Gas Natural,,Gres,,,,,1997,Si,,Ladrillo,,,,,Si,,"80,00 €",75,,,,,,,Si,Mas de 25 Años,,,,2,2,,,130000,Si,Perfecto Estado
95,,72,,,,,,guadalajara,Si,,,,Gas Natural,1,Marmol,,,,,2006,,2,Ladrillo,,,,,Si,,,57,,,,Si,,,,Entre 15 y 20 Años,,,,1,1,Si,,133000,Si,Perfecto Estado
96,,106,,Si,,Central,,guadalajara,Si,2,,,Central,1,Tarima Flotante,,,,,,,2,Ladrillo,,,,,Si,,"117,00 €",100,Si,Si,,,,,,Entre 25 y 35 años,,,,3,1,Si,,135000,Si,Perfecto Estado
97,,108,,Si,,Individual,,guadalajara,Si,1,,,Central,1,Parquet,,,,,,,2,,,,,,Si,,,97,,,,,,,,Mas de 25 Años,,,,4,2,,,135000,Si,Depende del precio
98,,85,,Si,,Individual,,guadalajara,Si,2,,,,,Gres,,,,,1974,,2,Mono Capa,,,,,,,,78,,,,,Sureste,,,Entre 25 y 35 años,,,,3,1,,,135000,Si,Depende del precio
99,,127,5,,,Individual,,guadalajara,,1,,,Central,,Parquet,,,,,,,3,,,4,,,Si,,,120,,,,,,,,Entre 35 y 50 Años,,,,4,2,,,135000,,
100,,118,,,,,,guadalajara,Si,1,,,Gas Natural,,Gres,,,,,1993,,1,Mono Capa,,,,,,,"50,00 €",90,,Si,,,,,,Entre 20 y 25 Años,,,,3,2,Si,,135000,Si,Perfecto Estado
101,,119,,,,Gas natural,,guadalajara,Si,1,,,Gas Natural,,Gres,,,,,,,4,,Si,,,,,,"50,00 €",97,,,,Si,,,,,,,,4,1,,,138000,,Perfecto Estado
102,Si,65,,,,,,guadalajara,Si,1,Si,,Gas Natural,1,Tarima normal,,,,,2007,Si,,Ladrillo,,,,,Si,,"54,00 €",51,,Si,,Si,,,,Entre 10 y 15 Años,,,,1,1,,,138000,Si,Perfecto Estado
103,,114,,,,Gas natural,,guadalajara,Si,1,,,Gas Natural,,Parquet,,,,,,,2,Ladrillo,,,,,,,,110,,,,,,,,,,,,4,1,,,139000,,Perfecto Estado
104,,128,3,,,Gas natural,,guadalajara,Si,,,,Gas Natural,1,Tarima Flotante,,,,,2008,,2,Ladrillo,,,,,,,"37,00 €",102,,Si,,,,,,,,,,2,2,,,139000,Si,Perfecto Estado
105,Si,87,,,,,,guadalajara,Si,1,,,Gasóleo,,Baldosa,,,,,1996,,,Ladrillo,,,,,,,"70,00 €",85,,Si,,,,,,Entre 25 y 35 años,,,,2,2,,,140000,Si,Perfecto Estado
106,Si,96,,,,,,guadalajara,Si,1,,,,,Tarima normal,,,,,1976,,,,,,,,Si,,,77,,Si,,,,,,Entre 35 y 50 Años,,,,3,1,Si,,140000,Si,Perfecto Estado
107,Si,90,3,,,Individual,,guadalajara,Si,,,,Gas Natural,1,Tarima Flotante,,,,,2006,,,Ladrillo,,,,,Si,,"70,00 €",88,,,,Si,,,,Entre 15 y 20 Años,,,,3,2,,,143000,Si,Perfecto Estado
108,,127,5,,,Gas natural,,guadalajara,Si,1,,,Gas Natural,,Tarima Flotante,,,,,1984,,5,,,4,,,Si,,"50,00 €",120,,Si,,,,,,Entre 35 y 50 Años,,,,4,2,Si,,146500,Si,Perfecto Estado
109,,91,,Si,Si,Individual,,guadalajara,Si,,,,Propano,,Tarima Flotante,,,,,2002,,,Ladrillo,,,,,,,"36,00 €",85,,,,,Oeste,,,Entre 20 y 25 Años,,,,4,2,,,149000,Si,Perfecto Estado
110,,119,,,,,,guadalajara,Si,1,,,Gas Natural,,Gres,,,,,1978,,,Ladrillo,,,,,,,"50,00 €",97,,Si,,,,,,Entre 35 y 50 Años,,,,4,1,,,149000,Si,A reformar
111,,102,,,,,,guadalajara,Si,1,,,,,Tarima normal,,,,,2001,,,Ladrillo,,,,,,,,91,,Si,,,,,,Entre 20 y 25 Años,,,,3,2,Si,,149900,Si,Perfecto Estado
112,Si,124,,,,,,guadalajara,Si,1,,,,,Tarima normal,,,,,1991,,5,Ladrillo,,,,,Si,,"82,00 €",105,,Si,,,,,,Entre 25 y 35 años,,,,3,2,Si,,150000,Si,Perfecto Estado
113,,116,,Si,,,,guadalajara,Si,,,,Central,1,Tarima Flotante,,,,,2008,Si,3,Ladrillo,,,,,Si,,,75,,Si,,Si,Sureste,,,Entre 10 y 15 Años,,,,2,2,,,151000,Si,Perfecto Estado
114,,149,,Si,,Individual,,guadalajara,Si,2,,,Gasóleo,2,Parquet,,,,,2006,,,Ladrillo,,,,,,,,141,,,,,Oeste,,,Entre 15 y 20 Años,Si,,,4,3,,,153000,,Perfecto Estado
115,,103,,,,,,guadalajara,Si,1,,,Individual,,Gres,,,,,1978,,3,Ladrillo,,,,,Si,,,100,,Si,,,,,,Entre 35 y 50 Años,,,,2,2,Si,,155000,Si,Perfecto Estado
116,,120,,,,,,guadalajara,Si,,,,Gas Natural,1,Tarima normal,,,,,2004,,,Mono Capa,,,,,,,"62,00 €",85,,Si,,,,,,Entre 15 y 20 Años,,,,3,2,,,157000,,Perfecto Estado
117,Si,115,3,Si,,Individual,,guadalajara,Si,1,Si,,Gas Natural,1,Tarima Flotante,Si,,,,2008,Si,5,Ladrillo,,,,,Si,,,100,,,,Si,,,,Entre 15 y 20 Años,,Si,,4,2,,,159000,Si,Perfecto Estado
