,,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Salida de humos,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
10,,,107,,,,Individual,,murcia,Si,2,,,Individual,,,Gres,,,,,1980,,,,,,,,,,,,Si,Si,,,,,,Más de 50 años,,Si,,3,1,,,49900,Si,Depende del precio
11,,,160,,,,Individual,,murcia,Si,,,,Individual,,,Gres,,,,,1960,,,,,,,,,,,,Si,,,Si,,,,,Si,,,3,1,,,50000,,Depende del precio
12,,,90,,,,Individual,,murcia,Si,2,,,,,,Tarima normal,,,,,,,,,,,Si,,,,"5,00 €",,Si,,,,,,,Más de 50 años,,,,3,1,Si,,50000,,A reformar
13,,,30,4,Si,,,,murcia,Si,,,,,,,Gres,,,,,1993,,,,,,,,,,,24,,,,,,,,Entre 35 y 50 Años,,,,1,1,,,57300,,A reformar
14,,,87,,,,Individual,,murcia,Si,,,,,,,Gres,,,,,1982,,,Ladrillo,,,Si,,Si,,"40,00 €",,Si,,,,,,,Mas de 25 Años,,,,3,1,Si,,58000,Si,A reformar
15,,Si,102,,,,Individual,,murcia,Si,2,,,Individual,,,Gres,,,,,1980,,3,,,,,,Si,,,,Si,,,,,,,Más de 50 años,,Si,,4,1,,,60000,,Depende del precio
16,,,78,,,,Individual,,murcia,Si,,,,Individual,,,Gres,,,,,1970,,,,,,,,,,,,Si,Si,,Si,,,,Más de 50 años,,,,3,1,Si,,60000,Si,Perfecto Estado
17,,,140,,,,Individual,,murcia,Si,2,,,,,,Gres,,,,,1960,,,,,,,,,,,,,,,,,,,Entre 35 y 50 Años,,,,4,2,,,60000,,Depende del precio
18,,,56,,Si,,,,murcia,Si,,,,,,,Tarima normal,,,,Si,,,2,,,,,,,,,45,,Si,,,,,,Entre 35 y 50 Años,,,,1,1,,,65000,,Depende del precio
19,,Si,160,,,,Individual,,murcia,Si,,,,Individual,,,Gres,,,,,1985,,,,,,,,,,,,Si,,,,,,,,Si,,,4,2,,,70000,,Depende del precio
20,,,78,,Si,,,,murcia,Si,1,,,,,,Gres,,,,,,,,,,,,,,,,63,,,,Si,,,,Entre 35 y 50 Años,,,,3,1,,,72260,Si,A reformar
21,,,92,,,,Individual,,murcia,Si,2,,,Individual,,,Gres,,,,,,,,,,,,,Si,,,,Si,Si,,Si,,,,Mas de 25 Años,,,,3,1,Si,,74990,Si,Perfecto Estado
22,,,125,,,Si,,,murcia,Si,,,,Eléctrica,,1,,,,,,1970,,,,,,,,,,,,,Si,,Si,,,,,,,,3,2,,,77300,,A reformar
23,,,160,,,,,,murcia,Si,,,,Individual,,,Gres,,,,,1980,,,,,,,,,,,,Si,Si,,Si,,,,Mas de 25 Años,,,,4,2,,,79900,Si,Depende del precio
24,,,160,,,,Individual,,murcia,Si,2,,,Individual,,,Gres,,,,,1980,,,,,,,,,,,,Si,,,Si,,,,Mas de 25 Años,,,,6,2,,,79900,,Depende del precio
25,,,57,,Si,,Central,,murcia,Si,,,,,,,Gres,,,,,,,,,,,,,,,,55,Si,,,,,,,Entre 35 y 50 Años,,,,3,1,,,84500,Si,A reformar
26,,,88,,Si,,Individual,,murcia,Si,1,,,Eléctrica,,,Gres,,,,,,,,Ladrillo,,,,,,,,80,,Si,,,,,,Más de 50 años,,,,4,2,Si,,85000,,Perfecto Estado
27,,Si,108,3,Si,,,,murcia,Si,,,,,,,Baldosa,,,,,1977,,,Ladrillo,,,,,,,,99,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,85300,,
28,,,91,,Si,,,,murcia,Si,,,,,,,Gres,,,,,,,,,,,,,,,,73,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,86900,,Depende del precio
29,,,71,,Si,,,,murcia,Si,,,,,,,Gres,,,,,1958,,,Cemento,,,,,,,,57,,,,,,,,Más de 50 años,Si,,,3,1,,,87900,,A reformar
30,,Si,235,,,,Individual,,murcia,Si,,,,Individual,,,Gres,,,,Si,1960,,,,,,,,,,,,Si,,,Si,,,,,,,,5,2,,,88000,Si,Depende del precio
31,,,50,,,,Individual,,murcia,Si,1,Si,,Individual,,,Gres,,,,,1999,Si,,,,,,,Si,,,,Si,Si,,,,,,Entre 20 y 25 Años,,Si,,1,1,Si,,90000,Si,Perfecto Estado
32,,,130,,,,Individual,,murcia,Si,,,,Individual,,,Gres,,,,,2004,,,,,,,,Si,,,,Si,,,,,,,Entre 15 y 20 Años,,Si,,3,2,,,90000,Si,Perfecto Estado
33,,Si,100,,,,Individual,,murcia,Si,,,,Individual,,,Tarima Flotante,,,,,1980,,3,,,,,,Si,,,,Si,Si,,,,,,Mas de 25 Años,,,,3,1,Si,,92000,Si,Perfecto Estado
34,,Si,140,,,,,,murcia,Si,1,,,,,,Gres,,,,,1980,,,,,,,,Si,,,,Si,,,,,,,Mas de 25 Años,,Si,,3,2,,,95900,Si,Perfecto Estado
35,,,158,,Si,,,,murcia,Si,2,,,Eléctrica,,2,Gres,,,,Si,1950,,,,,,,,,,,126,,,,Si,,,,Más de 50 años,,,,3,2,,,99000,Si,
36,,,73,3,,,,,murcia,Si,,,,,,,,,,,,1968,,,Cemento,,,,,,,,58,,,,,Oeste,,,Más de 50 años,,,,3,1,,,105000,,
37,,,53,,Si,,,,murcia,Si,,,,,,,Porcelánico,,,,,1954,,,Piedra,,,,,,,"40,00 €",43,,Si,,,Oeste,,,Más de 50 años,,,,2,1,,,105000,,A reformar
38,,Si,111,2,Si,,,,murcia,Si,,,,,,1,Tarima normal,,,,,2008,,2,,,,,,Si,,"29,00 €",100,Si,,,Si,,,,Entre 15 y 20 Años,,,,3,2,,,105000,,Perfecto Estado
39,,,108,,Si,,,,murcia,Si,,,,,,,Terrazo,,,,,1967,,,Ladrillo,,,,,,,"70,00 €",89,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,107260,,A reformar
40,,Si,106,4,Si,,,,murcia,Si,1,,,,,1,Gres,,,,,2009,,2,Cemento,,,,,Si,,,73,Si,,,Si,,,,Entre 15 y 20 Años,,,,2,2,,,109000,Si,Perfecto Estado
41,,,61,3,Si,,,,murcia,Si,,,,,,,Gres,,,,,1969,,,,,,,,,,,49,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,109900,,Depende del precio
42,,Si,108,7,,,Individual,,murcia,Si,1,,,,,,Tarima Flotante,,,,,1976,,4,,,,,,Si,,,,Si,,,,,,,Mas de 25 Años,,Si,,3,1,Si,,109900,Si,Perfecto Estado
43,,,117,,,Si,,,murcia,Si,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,110000,,A reformar
44,,,95,,Si,,,,murcia,Si,,,,,,,Gres,,,,,1989,,,,,,,,,,"30,00 €",70,,,,,,,,Entre 35 y 50 Años,,,,2,1,,,112300,Si,Perfecto Estado
45,,,100,,Si,,,,murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,115000,,A reformar
46,,,90,,,,,,murcia,Si,,,,,,,Tarima normal,,,,,1972,,,,,,,,,,"40,00 €",,,,,Si,,,,Más de 50 años,,,,3,1,,,117300,Si,A reformar
47,,,51,4,Si,,,,murcia,Si,,,,,,,Gres,,,,,,,,,,,,,,,"25,00 €",42,,Si,,Si,,,,Entre 35 y 50 Años,,,,2,1,,,120000,Si,Perfecto Estado
48,,,107,3,Si,,Individual,,murcia,Si,1,,,,,1,Gres,,,,,2007,,2,Ladrillo,,,,,Si,,"46,00 €",81,,Si,,Si,,,,Entre 15 y 20 Años,,,,2,1,,,121000,,Perfecto Estado
49,,,103,,Si,,,,murcia,Si,,,,,,,Gres,,,,,,,,,,,,,Si,,"65,00 €",88,,,,Si,,,,Entre 35 y 50 Años,,,,3,2,,,123300,Si,A reformar
50,,,105,,,,Individual,,murcia,Si,,,,Eléctrica,,,Gres,,,,,1989,,3,,,,,,Si,,,,Si,Si,,Si,,,,Mas de 25 Años,,,,3,2,Si,,124000,Si,Perfecto Estado
51,,Si,97,,Si,,,,murcia,Si,1,,,,,,Terrazo,,,,,1973,,,Ladrillo,,,,,Si,,"100,00 €",78,,Si,,Si,Sur,,,Entre 35 y 50 Años,,,,3,1,,,125000,Si,A reformar
52,,,83,2,,,,,murcia,Si,,,,Eléctrica,,,Gres,,,,,1979,,,Ladrillo,,,,,,,,,,Si,,,Este,,,,,,,6,3,Si,,127300,Si,A reformar
53,,Si,135,,,,Individual,,murcia,Si,,,,Individual,,1,Gres,,,,,1976,,,Cemento,,,,,Si,,,,Si,Si,,,,,,Mas de 25 Años,,,,3,2,Si,,129900,Si,Perfecto Estado
54,,Si,135,,,,Individual,,murcia,Si,1,,,Individual,,1,Gres,,,,,1976,,,Cemento,,,,,Si,,,,Si,Si,,,,,,,,,,4,1,Si,,135000,Si,Perfecto Estado
55,,,52,4,,,,,murcia,,1,,,Eléctrica,,,Tarima normal,,,,,1968,,,Cemento,,,,,Si,,"50,00 €",,,Si,,Si,Este,,,Entre 35 y 50 Años,,,,3,1,,,139000,Si,Perfecto Estado
56,,Si,147,,,,Individual,,murcia,Si,2,,,Individual,,1,Gres,Si,,,,2009,Si,4,,,,,,Si,,,,Si,,,Si,,,,Entre 15 y 20 Años,,Si,,3,2,,,139900,,Obra nueva
57,,,230,,,Si,,,murcia,Si,1,,,,,1,Gres,,,,,,,,,,,,,,,,,,,,,,,,Más de 50 años,,,,5,3,,,140000,,A reformar
58,,Si,90,,Si,,,,murcia,,1,,,,,,,,,,,1970,,,,,,,,Si,,"25,00 €",,,,,Si,Norte,,,Más de 50 años,,,,3,1,,,150000,,A reformar
59,,Si,200,,,,Individual,,murcia,Si,2,,,Individual,,,Tarima Flotante,,,,,,,4,,,,Si,,Si,,,,Si,Si,,,,,,Mas de 25 Años,,,,4,2,,,154000,Si,Perfecto Estado
60,,,240,,Si,Si,,,murcia,,,,,,,1,,,,,,1972,,,Piedra,,,,,,,,,,,,,,,,,,,,5,2,,,155000,,A reformar
61,,Si,119,4,Si,,,,murcia,Si,2,,,,,1,Gres,,,,,1997,,3,Ladrillo,Si,9,,,Si,,"87,00 €",88,Si,,,Si,,,,Entre 25 y 35 años,,Si,,3,2,,,156900,,Perfecto Estado
62,,Si,111,4,Si,,Individual,,murcia,Si,,,,,,1,Gres,,,,,2002,,5,Ladrillo,,,,,Si,,"85,00 €",90,Si,Si,,,Noreste,,,Entre 20 y 25 Años,,,,3,2,,,159000,Si,Perfecto Estado
63,,,340,,,Si,Individual,,murcia,Si,,,,Individual,,,Gres,,,,,,,,Cemento,,,,,,,,,Si,Si,,Si,,,,Mas de 25 Años,,,,4,2,Si,,159900,Si,Perfecto Estado
64,,,105,,Si,,Individual,,murcia,Si,1,,,Individual,,,Gres,,,,,,,,Ladrillo,,,,,Si,,,95,,Si,,,Oeste,,,Mas de 25 Años,,,,4,1,Si,,162000,Si,A reformar
65,,Si,108,,Si,,,,murcia,Si,1,,,,,,Terrazo,,,,,1972,,,Ladrillo,,,,,Si,,"55,00 €",87,Si,,,Si,,,,Más de 50 años,,,,3,2,,,164900,,A reformar
66,,,135,,,,Individual,,murcia,Si,2,,,Individual,,,Gres,,,,,2000,,4,,,,,,,,,,Si,Si,,,,,,Entre 20 y 25 Años,,Si,,3,2,Si,,165000,Si,Perfecto Estado
67,,,110,,,,Individual,,murcia,Si,,,,,,1,Gres,,,,,2012,,3,Ladrillo,,,Si,,Si,,"70,00 €",,Si,Si,,Si,,,,Entre 15 y 20 Años,,Si,,3,2,Si,,168000,Si,Perfecto Estado
68,,Si,138,6,Si,,Individual,,murcia,Si,2,,,Individual,,1,Gres,,,,,1972,,,Ladrillo,,12,,,Si,,"48,00 €",111,,Si,,Si,Sur,,,Entre 35 y 50 Años,,,,4,2,,,169000,Si,A reformar
69,,Si,95,,,,Individual,,murcia,Si,1,,,Individual,,1,Tarima Flotante,Si,,,,2012,,,Cemento,,,,,Si,,,,Si,Si,,Si,,,,Entre 10 y 15 Años,,Si,,2,2,Si,,175900,Si,Perfecto Estado
70,,,264,,Si,Si,,,murcia,Si,1,,,,,,Terrazo,,,,,1959,,,,,,,,,,,,,,,,,,,Más de 50 años,,,,6,1,,,179900,,A reformar
71,,Si,126,9,,,,,murcia,Si,2,,,,,,Gres,,,,,1972,Si,,Cemento,,,,,Si,,,115,Si,,,,,,,Entre 20 y 25 Años,,,,4,2,Si,,185000,Si,Perfecto Estado
72,,Si,180,,,,Individual,,murcia,Si,,,,Individual,,1,Parquet,,,,,,,6,,,,,,Si,,,,Si,Si,,Si,,,,Entre 25 y 35 años,,,,4,2,Si,,186000,Si,Perfecto Estado
73,,Si,210,,Si,,Individual,,murcia,Si,,,,Eléctrica,,2,Tarima Flotante,,,Si,Si,2002,Si,,,,,,,,,,,Si,Si,,Si,,,,Entre 15 y 20 Años,,Si,,3,2,Si,,189900,Si,Perfecto Estado
74,,,210,,Si,,Individual,,murcia,,,,,Individual,,1,Tarima Flotante,,,,,1989,,,,,,,,,,,,,Si,,,,,,,Si,,,3,2,,,189900,Si,Perfecto Estado
75,,,260,,,,Individual,,murcia,Si,2,,,Individual,,3,Gres,,,,Si,2009,Si,,,,,,,,,,,Si,Si,,Si,,,,Entre 20 y 25 Años,,Si,,3,3,Si,,190000,Si,Perfecto Estado
76,,,125,,Si,,Individual,,murcia,Si,1,,,Eléctrica,,1,Gres,,,,,,,2,,,,,,Si,,,120,Si,,,,,,,Entre 15 y 20 Años,,,,2,1,,,199000,Si,Perfecto Estado
77,,Si,128,5,Si,,,,murcia,Si,1,,,,,1,Parquet,,,,,1989,,3,Ladrillo,,15,,,Si,,"63,00 €",115,Si,,,Si,,,,Entre 25 y 35 años,,,,3,2,,,199900,,A reformar
78,,,89,1,,,,,murcia,Si,1,,,Eléctrica,,,Tarima normal,,,,,1992,,3,,,,,,,,,,,Si,,Si,Este,,,Entre 25 y 35 años,,,,3,2,,,199900,,Perfecto Estado
79,,Si,74,,,,,,murcia,Si,1,,,Central,,1,Marmol,,,,,2009,,2,Ladrillo,Si,,,,Si,,"70,00 €",,Si,Si,,Si,Este,,,Entre 10 y 15 Años,,Si,,2,2,Si,,200000,,Perfecto Estado
80,,Si,83,5,Si,,Central,,murcia,Si,,,,,,1,Gres,,,,,1998,,,,,,,,Si,,"46,00 €",80,,,,Si,,,,Entre 35 y 50 Años,,,,3,1,,,207300,,Perfecto Estado
81,,,100,4,Si,,Individual,,murcia,Si,1,,,Eléctrica,,1,Otros,,,,,1980,,,Ladrillo,,16,,,Si,,"85,00 €",80,Si,Si,,,Sureste,,,Entre 35 y 50 Años,,,,3,1,Si,,210000,Si,Perfecto Estado
82,,,106,,,,,,murcia,Si,1,,,Central,,,Gres,,,,,1997,,,Cemento,,,,,Si,,"48,00 €",,,Si,,,,,,Mas de 25 Años,,Si,,3,2,,,215000,,Perfecto Estado
83,,,168,5,Si,,,,murcia,Si,,,,,,,Gres,,,,,1982,,,,,,,,Si,,,135,,,,,,,,Entre 25 y 35 años,,,,5,2,,,220000,,Perfecto Estado
84,,Si,120,,,,Individual,,murcia,Si,,,,,,2,Marmol,,,,,2016,,4,,,,,,Si,,,,Si,,,,,,,Entre 15 y 20 Años,,,,3,2,,,230000,,Perfecto Estado
85,,Si,5000,,,Si,Individual,,murcia,Si,,Si,,Individual,,10,Gres,,,,,2000,Si,4,,,,Si,,,,,,Si,Si,,Si,,,,Mas de 25 Años,,Si,,5,3,Si,,235000,Si,Perfecto Estado
86,,,84,7,Si,,,,murcia,Si,1,,,,,1,Porcelánico,,,,,1986,,2,,,36,,,Si,,,67,,,,Si,,,,Entre 35 y 50 Años,,,,2,1,,,237000,Si,Depende del precio
87,,,279,,,,,,murcia,Si,2,,,,,1,Gres,,,,,,,,,,,,Exento,,,,,,,,Si,,,,Más de 50 años,Si,,,4,1,,,250000,,A reformar
88,,Si,101,7,Si,,,,murcia,Si,2,,,,,1,Tarima Flotante,,,,,1983,Si,3,Ladrillo,,28,,,Si,,"90,00 €",,Si,Si,,,,,,Entre 35 y 50 Años,,,,3,2,,,258900,Si,Perfecto Estado
89,,Si,4000,,,Si,Individual,,murcia,Si,,Si,,Individual,,10,Gres,,,,,1980,Si,,Cemento,,,,,,,,,Si,Si,,Si,,,,Mas de 25 Años,,Si,,4,2,Si,,259900,Si,Perfecto Estado
90,,Si,134,6,,,,,murcia,Si,,,,Central,,1,Tarima normal,,,,,2007,Si,4,Cemento,,,,,Si,,"70,00 €",,Si,Si,,Si,,,,Entre 15 y 20 Años,,Si,,2,2,Si,,270000,Si,Perfecto Estado
91,,,181,2,,Si,,,murcia,,2,,,,,,Gres,,,,,1930,,,Cemento,,,,,,,,150,,Si,,,,,,Entre 35 y 50 Años,,,,5,2,,,299900,,Perfecto Estado
92,,Si,300,,,,Individual,,murcia,Si,3,Si,,Gas Natural,,4,Gres,Si,,,Si,2003,Si,,,,,,,,Si,,,Si,,,Si,,,,Entre 15 y 20 Años,,Si,,3,3,Si,,315000,Si,Perfecto Estado
93,,Si,205,,Si,,,,murcia,,,,,Central,,1,Porcelánico,,,,,1986,,,,,,,,Si,,,200,,Si,,Si,,,,Mas de 25 Años,,,,4,2,,,318000,,Perfecto Estado
94,,Si,164,4,Si,,Individual,,murcia,Si,,,,Individual,,1,Parquet,,,,,1955,,3,Ladrillo,,8,,,Si,,"69,00 €",132,Si,Si,,,Suroeste,,,Más de 50 años,,,,4,2,,,334900,,Perfecto Estado
95,,Si,143,,Si,,,,murcia,Si,,,,,,,Parquet,,,,,1974,,4,,,,,,Si,,,114,,,,Si,,,,Entre 35 y 50 Años,,,,3,2,,,359900,,Perfecto Estado
96,,Si,147,5,Si,,Individual,,murcia,Si,,,,Eléctrica,,1,,,,,,1972,,6,Ladrillo,,10,,,Si,,"84,00 €",121,Si,Si,,,Sureste,,,Entre 35 y 50 Años,,,,3,2,,,365000,Si,Perfecto Estado
97,,Si,135,6,,,,,murcia,Si,1,,,Central,,1,Tarima Flotante,,,,,2006,,,,Si,,,,Si,,,123,Si,Si,,Si,Este,,,Entre 15 y 20 Años,,Si,,3,2,,,365000,Si,Perfecto Estado
98,,Si,145,,Si,,,,murcia,Si,2,,,,,,Gres,Si,,,,1968,,5,,,,,,Si,,"50,00 €",125,,,,,,,,,,,,4,2,,,395000,,A reformar
99,,,142,,Si,,Central,,murcia,Si,,,,Central,,1,Gres,,,,,,,,,,,,,Si,,,130,,,,Si,,,,Entre 35 y 50 Años,,,,4,2,,,460000,Si,A reformar
100,,Si,143,5,,,,,murcia,Si,1,Si,,Eléctrica,,1,Parquet,,,,,1991,,5,Cemento,Si,,,,Si,,"105,00 €",,Si,Si,,Si,Noroeste,,,Mas de 25 Años,,,,4,2,,,475000,Si,Perfecto Estado
101,,Si,360,,Si,Si,,,murcia,Si,,Si,,Eléctrica,,5,Porcelánico,,,,,2024,Si,,,,,,,,,,,Si,Si,,,,,,Menos de 5 Años,,Si,,5,5,,,590000,Si,Perfecto Estado
102,,,131,3,Si,,,,murcia,Si,,,,,,,Gres,,,,,,,1,,,,,,,,"30,00 €",123,,,,,,,,Más de 50 años,,,,4,1,,,A consultar,Si,A reformar
103,,,105,,Si,,,,murcia,Si,,,,,,,Otros,,,,,1961,,,,,,,,Si,,"35,00 €",97,,Si,,,Norte,,,Entre 35 y 50 Años,,,,3,1,,,A consultar,,A reformar
104,,,63,4,Si,,,,murcia,Si,,,,,,,Gres,,,,,1970,,1,,,8,,,,,"88,00 €",50,,Si,,Si,Sur,,,Más de 50 años,,,,3,1,Si,,A consultar,,A reformar
105,,Si,96,1,Si,,,,murcia,Si,,,,Eléctrica,,,Otros,,,,,1976,,,,,,,,Si,,,80,,,,,Norte,,,Entre 35 y 50 Años,,,,3,1,,,A consultar,Si,
106,,Si,83,,Si,,,,murcia,,,,,,,1,Porcelánico,,,,,2008,,,,,,,,Si,,,62,,Si,,Si,,,,Entre 10 y 15 Años,,,,2,1,,,A consultar,Si,Perfecto Estado
107,,,93,,Si,Si,,,murcia,Si,,,,,,,Gres,,,,,,,,Cemento,,,,,,,,,,,,,,,,Más de 50 años,,,,3,1,,,A consultar,,A reformar
108,,,56,5,Si,,,,murcia,,,,,,,,Gres,,,,,1968,,,Cemento,,,,,,,,,,Si,,,,,,,,,,3,1,,,34000,,A reformar
109,,,69,4,Si,,,,murcia,Si,,,,,,,,,,,,1961,,,Cemento,,,,,,,,,,,,,,,,,,,,2,1,,,35000,,Perfecto Estado
110,,,65,,Si,,,,murcia,Si,1,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,39900,Si,
111,,,66,,Si,,,,murcia,Si,1,,,,,,,,,,,1975,,,Cemento,,,,,,,,53,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,50000,,A reformar
112,,,92,,Si,,,,murcia,Si,,,,,,,Gres,,,,,,,2,Ladrillo,,,,,,,,,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,67300,,Perfecto Estado
113,,,91,3,Si,,,,murcia,Si,,,,,,,,,,,,1940,,,,,,,,,,"32,00 €",,,Si,,Si,Este,,,Más de 50 años,,,,3,1,,,69900,,
114,,,42,,Si,,,,murcia,Si,2,,,,,,,,,,,1963,,,,,,,,,,"28,00 €",,,,,,Este,,,,,,,2,1,,,77300,,Perfecto Estado
115,,,65,,Si,,,,murcia,Si,,,,,,,,,,,,,,,Cemento,,,,,,,"28,00 €",50,,Si,,,Este,,,,,,,3,1,,,77300,,A reformar
116,,,65,4,Si,,,,murcia,Si,,,,,,,Gres,,,,,1953,,,,,,,,Si,,,56,,,,Si,,,,,,,,2,1,Si,,87300,,A reformar
117,,,95,7,Si,,,,murcia,,1,,,Central,,,,,,,,1977,,,,,,,,Si,,,76,,,,Si,,,,Entre 35 y 50 Años,,,,2,1,,,92000,,A reformar
118,,,109,12,Si,,,,murcia,,,,,,,,,,,,,1979,,3,Ladrillo,,,,,Si,,,,,,,,,,,,,,,3,2,,,97000,,
119,,,88,5,Si,,,,murcia,Si,,,,,,,,,,,,1966,,,Cemento,,,,,,,"25,00 €",71,,Si,,Si,,,,Más de 50 años,,,,3,1,,,99300,Si,Perfecto Estado
120,,,63,4,Si,,,,murcia,Si,1,,,,,,,,,,,1975,,,,,9,,,Si,,"30,00 €",52,,,,,Sur,,,Entre 35 y 50 Años,,,,3,1,,,100000,,
121,,,62,7,Si,,,,murcia,,,,,,,,Gres,,,,,1963,,,,,,,,Si,,,,,,,,,,,,,,,2,1,,,107000,,A reformar
122,,Si,100,,Si,,,,murcia,Si,1,,,,,,Gres,,,,,,Si,,,,,,,Si,,"26,00 €",94,,Si,,,Oeste,,,,,,,3,1,,,110000,Si,
123,,Si,93,7,Si,,,,murcia,Si,,,,,,,,,,,,,,,,,,,,Si,,"37,00 €",,,Si,,,,,,,,,,3,1,,,110000,,Perfecto Estado
124,,,124,,,,,,murcia,Si,1,,,,,,,,,,,1959,,,,,,,,Si,,"45,00 €",123,,,,,Sureste,,,Más de 50 años,,,,4,2,,,112000,,
125,,,89,,Si,,,,murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,118000,,Perfecto Estado
126,,Si,86,8,Si,,,,murcia,Si,1,,,,,,Gres,,,,,1969,,,Ladrillo,,,,,Si,,"74,00 €",76,,Si,,,Oeste,,,Más de 50 años,,,,3,1,,,126500,,A reformar
127,,,116,2,,,,,murcia,Si,1,,,,,,,,,,Si,1927,,,Cemento,,,,,,,,,,,,,,,,Más de 50 años,,,,4,1,,,130000,,A reformar
128,,Si,97,5,Si,,Gas natural,,murcia,Si,2,,,Central,,,Tarima Flotante,,,,,,,,,,,,,Si,,"86,00 €",,,Si,,,Este,,,,,,,3,2,,,140000,,Perfecto Estado
129,,Si,107,4,Si,,,,murcia,Si,1,,,,,1,Baldosa,,,,,1983,,,Ladrillo,,,,,Si,,"103,00 €",93,,Si,,,Este,,,Entre 35 y 50 Años,,,,3,2,,,175000,,A reformar
130,,,356,,,,,,murcia,Si,1,,,,,1,Gres,,,,Si,,,,Cemento,,,,,,,,,,,,Si,Noroeste,,,Entre 35 y 50 Años,,,,4,2,,,180000,,A reformar
131,,Si,144,7,Si,,,,murcia,Si,1,,,Gas Natural,,1,Gres,,,,,1978,,,Ladrillo,,,,,Si,,"70,00 €",,,Si,,Si,Este,,,Entre 35 y 50 Años,,Si,,4,2,,,227000,,A reformar
132,,Si,96,4,Si,,,,murcia,,,,,,,,Sintasol,,,,,1974,,,Ladrillo,,20,,,Si,,"65,00 €",85,,,,,Noreste,,,Entre 35 y 50 Años,,,,3,1,,,A consultar,,A reformar
