,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado,Salida de humos,
10,,62,,,,Gas natural,,madrid,Si,,,,Gas Natural,,Gres,,,,,,,,,,,,,Si,,,60,,Si,,,,,,Más de 50 años,,,,3,1,,,137500,,Perfecto Estado,,
11,,35,2,Si,,Individual,88 KW h/m² año,madrid,Si,,,,Eléctrica,,Gres,,,,,1965,,1,Ladrillo,,6,,,,,,28,Si,,,,Suroeste,,,Más de 50 años,,,,1,1,,14 Kg CO2/m² año,140000,,Perfecto Estado,,
12,,66,4,,,Individual,,madrid,Si,,,,Individual,,Gres,,,,,1975,,1,,,8,,,,,"63,00 €",60,Si,,,,Norte,,,Entre 35 y 50 Años,,,,2,1,Si,,142000,Si,A reformar,,
13,,67,,,,Gas Butano,,madrid,Si,1,,,,,Gres,,,,,1966,,,,,,,,,,"30,00 €",65,,Si,,,,,,Más de 50 años,,,,2,1,,,142500,,A reformar,,
14,,39,,Si,,,600 KW h/m² año,madrid,,,,,Eléctrica,,Tarima normal,,,,,,,,,,,,,,,,33,,,,,,,,Mas de 25 Años,,,,1,1,,149 Kg CO2/m² año,144000,,Perfecto Estado,,
15,,33,5,Si,,Individual,,madrid,,,,,Eléctrica,,Gres,,,,,1923,,,Cemento,,50,,,,,,25,Si,Si,,,,,,Más de 50 años,,,,1,1,,,149000,,Depende del precio,,
16,,52,5,Si,,Gas natural,,madrid,,1,,,Gas Natural,,Gres,,,,,1956,,,Ladrillo,Si,18,,,,,"57,00 €",41,,,,,Norte,,,Más de 50 años,,,,2,1,,,149000,Si,,,
17,,72,,Si,,Individual,,madrid,Si,,,,Eléctrica,,Gres,,,,,,,,,,,,,,,,58,Si,,,,Sur,,,,,,,3,1,,,149900,,Perfecto Estado,,
18,Si,73,,,,Individual,,madrid,Si,,,,Individual,,Gres,,,,,1973,,1,,,,,,,,"100,00 €",70,Si,Si,,,Suroeste,,,Entre 35 y 50 Años,,,,3,1,,,151000,Si,,,
19,,67,,Si,,Central,,madrid,,,,,Central,,Baldosa,,,,,1966,,,,,,,,,,"150,00 €",,,,,Si,,,,Entre 35 y 50 Años,,,,3,1,Si,,152260,Si,Perfecto Estado,,
20,,68,,Si,,Gas natural,,madrid,Si,1,,,Gas Natural,,Baldosa,,,,,1950,,,,,,,,,,"60,00 €",63,,,,,,,,Más de 50 años,,,,3,1,,,159000,,Depende del precio,,
21,,81,3,Si,,,,madrid,,1,,,Individual,,,,,,,1965,,,Ladrillo,,8,,,,,,69,Si,Si,,,,,,,,,,2,1,,,159000,Si,Depende del precio,,
22,Si,63,,Si,,,,madrid,Si,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,Más de 50 años,,,,2,1,,,160000,,Perfecto Estado,,
23,,70,4,Si,,Individual,389 KW h/m² año,madrid,Si,1,,,Gas Natural,,Tarima Flotante,,,,,1962,,,Ladrillo,,12,,,,,"50,00 €",57,,,,,Noroeste,,,Más de 50 años,,,,3,1,,82 Kg CO2/m² año,165000,Si,,,
24,,43,,Si,,,,madrid,Si,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,Más de 50 años,,,,1,1,,,165000,,Perfecto Estado,,
25,,45,,Si,,,,madrid,Si,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,Más de 50 años,,,,1,1,,,165000,,Perfecto Estado,,
26,,72,,Si,,Gas natural,,madrid,,,,,Gas Natural,,Gres,,,,,,,3,,,,,,,,,58,,,,,Este,,,Entre 35 y 50 Años,,,,3,1,,,166900,,Perfecto Estado,,
27,,58,2,,,Individual,,madrid,Si,,,,Gas Natural,,Gres,,,,,1960,,,,,,,,Si,,,52,,Si,,,,,,Entre 35 y 50 Años,,,,1,1,,,167500,,,,
28,,79,,Si,,Individual,,madrid,Si,,,,Gas Natural,,Tarima normal,,,,,,,2,,,,,,,,,64,Si,Si,,,Noreste,,,,,,,3,1,,,169900,,Perfecto Estado,,
29,,96,4,,,Individual,,madrid,Si,1,,,Gas Natural,,Gres,,,,,1969,,,Ladrillo,,10,,,,,"35,00 €",89,,,,,Sur,,,Entre 35 y 50 Años,,,,3,1,,,172500,,Depende del precio,,
30,,64,,,,Individual,,madrid,Si,,,,Eléctrica,,Tarima normal,,,,,1967,,,Ladrillo,,,,,,,"90,00 €",62,Si,,,,,,,Más de 50 años,,,,2,1,,,172500,Si,Perfecto Estado,,
31,,76,4,Si,,Individual,,madrid,Si,1,,,Gas Natural,,Parquet,,,,,1987,,1,Ladrillo,,,,,,,"80,91 €",67,Si,,,,Este,,,Entre 35 y 50 Años,,,,2,2,,,174000,Si,Perfecto Estado,,
32,,67,,Si,,Individual,,madrid,Si,1,,,Gas Natural,,Gres,,,,,,,4,,,,,,Si,,"60,00 €",54,Si,,,,Sur,,,,,,,3,1,,,174900,,Perfecto Estado,,
33,,75,,Si,Si,Individual,,madrid,Si,,,,Gas Natural,,Terrazo,,,,,,,,,,,,,,,,60,,,,,Noreste,,,,,,,3,1,,,176900,,Perfecto Estado,,
34,,66,4,Si,,Individual,,madrid,Si,1,,,Gas Natural,,Parquet,,,,,,,1,Ladrillo,,4,,,,,,53,Si,Si,,,Sur,,,Mas de 25 Años,,,,3,1,,,176900,Si,Perfecto Estado,,
35,Si,89,7,Si,,Central,,madrid,Si,1,,,Central,,Parquet,,,,,1982,Si,2,Ladrillo,Si,,,,Si,,"145,00 €",81,,Si,,,Noroeste,,,Entre 35 y 50 Años,,,,3,1,Si,,179500,Si,Perfecto Estado,,
36,,76,,Si,,Individual,,madrid,Si,1,,,Gas Natural,,Parquet,,,,,,,2,,,,,,,,"60,00 €",61,Si,Si,,,Oeste,,,,,,,3,1,,,179900,,Perfecto Estado,,
37,,68,4,Si,,,,madrid,Si,1,,,,,Porcelánico,,,,,1950,,2,,,,,,,,"60,00 €",63,,Si,,,Sureste,,,Más de 50 años,,,,2,1,,,180000,,Perfecto Estado,,
38,,68,,Si,,,,madrid,Si,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,3,1,,,180000,,Perfecto Estado,,
39,,70,,Si,,Individual,,madrid,Si,,,,Gas Natural,,Gres,,,,,,,,,,,,,,,"70,00 €",56,Si,Si,,,Este,,,,,,,3,1,,,184900,,Perfecto Estado,,
40,,101,,Si,,Individual,,madrid,Si,1,,,Individual,,Tarima Flotante,,,,,1971,,1,Ladrillo,,,,,,,,69,Si,Si,,Si,,,,Entre 35 y 50 Años,,,,2,1,Si,,185000,Si,Perfecto Estado,,
41,,64,,Si,,Gas natural,,madrid,Si,1,,,Gas Natural,,Parquet,,,,,1960,,,Ladrillo,,,,,,,"40,00 €",51,,Si,,,,,,Más de 50 años,,,,2,1,,,185000,Si,Perfecto Estado,,
42,Si,75,5,Si,,Individual,,madrid,Si,1,,,Gas Natural,,Gres,,,,,,,,,,4,,,Si,,,60,Si,,,,,,,,,,,3,1,,,186900,,Perfecto Estado,,
43,,63,,Si,,Individual,,madrid,Si,1,,,,,Parquet,,,,,,,1,,,,,,,,,61,Si,,,,,,,Entre 35 y 50 Años,,,,3,1,,,187300,Si,Perfecto Estado,,
44,,81,,,,Gas natural,,madrid,Si,,,,Gas Natural,,Tarima Flotante,,,,,1967,,,,,,,,,,,74,,Si,,,,,,Más de 50 años,,,,2,2,,,187500,,Perfecto Estado,,
45,,73,,Si,,,332 KW h/m² año,madrid,Si,1,,,Individual,,Tarima normal,,,,,,,,,,,,,,,"40,00 €",72,,,,,,,,Más de 50 años,,,,3,1,,70 Kg CO2/m² año,187500,,,,
46,,75,,Si,,Individual,352 KW h/m² año,madrid,,1,,,Gas Natural,,Gres,,,,,1968,,,,,,,,,,"45,00 €",68,,Si,,,,,,Más de 50 años,,,,3,1,,74 Kg CO2/m² año,187500,,Perfecto Estado,,
47,,85,,,,Gas natural,,madrid,Si,1,,,Gas Natural,,Parquet,,,,,1992,,3,Ladrillo,,,,,,,"40,00 €",75,Si,,,Si,Este,,,Entre 25 y 35 años,,,,3,1,,,188000,,Perfecto Estado,,
48,Si,77,5,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Tarima normal,,,,,,,1,,,19,,,,,,62,Si,Si,,,Este,,,,,,,2,1,,,189900,,Perfecto Estado,,
49,Si,93,10,Si,,Central,,madrid,Si,2,,,Central,,Parquet,,,,,,,,,,4,,,Si,,,75,Si,,,,Sur,,,Entre 35 y 50 Años,,,,3,2,,,189900,,Perfecto Estado,,
50,,94,,Si,,Gas natural,231 KW h/m² año,madrid,,1,,,Individual,1,Gres,,,,,2004,,1,Ladrillo,,,,,,,"50,00 €",48,,Si,,Si,Norte,,,Entre 15 y 20 Años,,,,1,1,,48 Kg CO2/m² año,189900,,Depende del precio,,
51,,67,,Si,,,,madrid,Si,,,,Gas Natural,,Tarima Flotante,,,,,1960,,,Ladrillo,,,,,,,"30,00 €",53,,Si,,,,,,Más de 50 años,,,,2,1,,,190000,,Perfecto Estado,,
52,,71,9,Si,,Central,,madrid,Si,,,,Central,,Tarima normal,,,,,,,1,,,4,,,Si,,"120,00 €",56,,,,,Oeste,,,,,,,3,1,,,196900,,Perfecto Estado,,
53,Si,70,,Si,,Individual,,madrid,,,,,,1,Tarima normal,,,,,,,2,,,,,,Si,,,56,,,,,Norte,,,Entre 35 y 50 Años,,,,3,1,,,198900,,Perfecto Estado,,
54,,76,,,,Individual,,madrid,Si,2,,,Individual,,,,,,,1962,,,,,,,,,,,61,,,,,,,,Más de 50 años,,,,3,1,Si,,200000,Si,Perfecto Estado,,
55,Si,90,7,,,Central,,madrid,Si,1,,,Central,,Porcelánico,,,,,1974,,1,,,28,,,Si,,"147,00 €",85,Si,,,Si,Noreste,,,Entre 35 y 50 Años,,,,3,1,,,204900,Si,Depende del precio,,
56,Si,90,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Gres,,,,,,,3,Ladrillo,,,,,Si,,,,Si,Si,,,,,,Entre 35 y 50 Años,,,,3,1,,,207260,Si,Perfecto Estado,,
57,,74,,Si,,,,madrid,Si,,,,Gas Natural,,Tarima Flotante,,,,,,Si,,,,,,,,,"50,00 €",59,,Si,,,Sureste,,,,,,,3,1,,,209000,,,,
58,Si,106,7,Si,,Gas natural,,madrid,Si,1,,,Gas Natural,,Tarima normal,,,,,1972,,2,,,28,,,Si,,"75,00 €",90,Si,Si,,Si,Sureste,,,Más de 50 años,,,,3,1,Si,,210000,Si,Perfecto Estado,,
59,,65,5,Si,,Individual,,madrid,,1,,,Gas Natural,,Sintasol,,,,,,,,,,25,,,,,,59,,,,,,,,Más de 50 años,,,,3,1,,,210000,,,,
60,,115,4,Si,,Individual,213 KW h/m² año,madrid,Si,1,,,,1,Gres,Si,,,,1999,Si,,Mono Capa,,6,,,Si,,"68,00 €",71,Si,Si,,Si,Oeste,,,Entre 20 y 25 Años,,,,2,2,,39 Kg CO2/m² año,210000,Si,Perfecto Estado,,
61,Si,111,5,,,Gas natural,,madrid,Si,,,,Individual,1,Gres,Si,,,,2008,Si,2,,,20,,,Si,,"54,00 €",75,Si,Si,,,Sureste,,,Entre 15 y 20 Años,,Si,,2,2,,,214000,Si,,,
62,Si,75,4,Si,,Individual,,madrid,Si,1,,,Gas Natural,,Gres,,,,,,,,,,4,,,Si,,,60,Si,Si,,,,,,,,,,3,1,,,216900,,Perfecto Estado,,
63,,76,,Si,,Central,,madrid,Si,1,,,Central,,Gres,,,,,,,1,,,,,,Si,,,63,Si,,,,Oeste,,,,,,,3,1,,,216900,,Perfecto Estado,,
64,,72,3,Si,,Gas natural,346 KW h/m² año,madrid,Si,2,,,Gas Natural,,Gres,,,,,1974,,1,,Si,6,,,,,"50,00 €",65,Si,Si,,,Noroeste,,,Más de 50 años,,,2,3,1,,66 Kg CO2/m² año,218000,Si,,,
65,,89,,,Si,,,madrid,,,,,,,Tarima normal,,,,,,,,,,,,,,,,71,,Si,,,,,,,,,,3,2,,,218000,,Perfecto Estado,,
66,Si,77,3,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Tarima Flotante,Si,,,,2009,Si,3,Ladrillo,,2,,,Si,,"91,00 €",64,,Si,,Si,Noroeste,,,Entre 15 y 20 Años,,,,2,2,,,219000,,Perfecto Estado,,
67,Si,87,7,,,Individual,,madrid,Si,,,,Individual,,Porcelánico,,,,,1975,,3,,,56,,,Si,,"70,00 €",80,Si,,,Si,Noreste,,,Entre 35 y 50 Años,,,,3,1,,,220000,Si,Perfecto Estado,,
68,,123,,Si,,Gas natural,72 KW h/m² año,madrid,Si,1,,,Gas Natural,1,Tarima normal,,,,,2003,,,,,,,,,,,,,Si,,,,,,Entre 20 y 25 Años,,,,2,2,,15 Kg CO2/m² año,220000,Si,Perfecto Estado,,
69,,82,5,Si,,Gas Butano,,madrid,Si,,,,,,Gres,,,,,1975,Si,,Ladrillo,,4,,,Si,,"50,00 €",73,,,,,Sur,,,Entre 35 y 50 Años,,,,3,1,,,220000,,,,
70,,79,,Si,,,,madrid,Si,,,,Eléctrica,,Parquet,,,,,1960,,,Ladrillo,,,,,Si,,,73,,Si,,Si,,,,Más de 50 años,,,,3,1,,,220000,,,,
71,,100,10,Si,,Gas natural,,madrid,Si,2,,,Gas Natural,,Parquet,,,,,1983,,3,Mono Capa,,2,,,Si,,"60,00 €",83,,,,,,,,Entre 35 y 50 Años,,,,3,2,,,225000,,Perfecto Estado,,
72,Si,95,10,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Gres,,,,,,,3,Ladrillo,,,,,Si,,,,Si,Si,,,,,,Entre 35 y 50 Años,,,,3,1,,,227260,Si,Perfecto Estado,,
73,,70,4,Si,,Gas natural,190 KW h/m² año,madrid,Si,1,,,Gas Natural,,Tarima normal,,,,,,,,,,,,,,,"40,00 €",,,Si,,,Oeste,,,,,,,3,1,,50 Kg CO2/m² año,229000,,Depende del precio,,
74,,35,,Si,,Individual,367 KW h/m² año,madrid,,,,,Individual,,Parquet,,,,,1917,,2,Ladrillo,,,,,,,"45,00 €",,,,,,,,,Más de 50 años,,,,2,1,,76 Kg CO2/m² año,230000,,A reformar,,
75,Si,73,12,Si,,Individual,,madrid,Si,,,,Eléctrica,,Tarima Flotante,,,,,1965,,1,Ladrillo,,,,,Si,,"45,00 €",60,Si,Si,,Si,Sur,,,Más de 50 años,,,,1,1,Si,,230000,Si,Perfecto Estado,,
76,,187,2,Si,,Individual,,madrid,,2,,,Individual,,Terrazo,,,,Si,1976,,1,Ladrillo,,,,,,,,170,,,,,,,,Entre 35 y 50 Años,,,,5,1,,,237990,,Depende del precio,,
77,,65,,Si,,Individual,,madrid,Si,1,,,Eléctrica,,Tarima normal,,,,,1970,,,Ladrillo,,,,,,,,60,,,,,,,,Entre 35 y 50 Años,,,,2,1,,,238000,Si,Perfecto Estado,,
78,,84,,,,Individual,,madrid,Si,1,,,Gas Natural,,Parquet,,,,,1966,,,,,,,,Si,,"65,00 €",78,,Si,,,,,,Más de 50 años,,,,3,1,,,238500,Si,Perfecto Estado,,
79,Si,119,5,Si,,Individual,,madrid,Si,1,,,Gas Natural,1,Gres,,,,,,Si,4,,,20,,,Si,,,95,Si,,,,,,,,,,,3,2,,,239900,,Perfecto Estado,,
80,,87,4,Si,,Individual,,madrid,,,,,Gas Natural,,Gres,,,,,1953,,,Cemento,,20,,,,,,75,,Si,,,,,,Más de 50 años,,,,3,1,,,240000,,Perfecto Estado,,
81,,70,,Si,,,,madrid,,2,,,,,,,,,,,,,,,,,,Si,,,51,,,,,,,,Más de 50 años,,,,3,1,,,240000,,,,
82,Si,118,3,Si,,Individual,,madrid,,1,Si,,Eléctrica,1,Parquet,,,,,2001,Si,4,Ladrillo,Si,6,,,,,"90,00 €",98,,Si,,Si,,,,Entre 20 y 25 Años,,,,3,2,,,244990,Si,Depende del precio,,
83,,101,,Si,,,,madrid,,,,,Individual,1,Parquet,,,,,1983,,5,Ladrillo,,,,,,,"70,00 €",95,,Si,,Si,Este,,,Entre 35 y 50 Años,,,,3,2,,,245000,Si,Depende del precio,,
84,,94,,Si,,Individual,174 KW h/m² año,madrid,,,,,Eléctrica,,Gres,Si,,,,1900,,,Mono Capa,,,,,,,"32,93 €",64,,,,,,,,Más de 50 años,,,,2,1,,35 Kg CO2/m² año,249000,,Perfecto Estado,,
85,Si,91,10,Si,,Individual,,madrid,Si,,,,Gas Natural,,Tarima normal,,,,,,Si,1,,,40,,,Si,,,73,Si,Si,,,,,,,,,,3,1,,,249900,,Perfecto Estado,,
86,Si,161,9,,,Gas natural,,madrid,Si,,,,Gas Natural,1,Tarima normal,Si,,,,2011,,2,,,36,,,Si,,"50,00 €",110,Si,Si,,Si,Este,,,Entre 10 y 15 Años,,,,2,2,,,250000,Si,Perfecto Estado,,
87,,77,6,Si,,Individual,,madrid,Si,1,,,,,Tarima normal,,,,,1961,,,Ladrillo,,,,,Si,,,65,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,250000,,Perfecto Estado,,
88,,73,,,Si,Individual,,madrid,Si,1,,,Eléctrica,1,Gres,,,,,2022,,,Cemento,,,,,,,,66,Si,,,,,,,Menos de 5 Años,,,,3,3,,,250000,,Perfecto Estado,,
89,Si,122,10,,,Individual,,madrid,Si,1,,,Individual,,Tarima normal,,,,,1983,,1,,,40,,,Si,,"100,00 €",115,Si,,,,Sureste,,,Entre 35 y 50 Años,,,,4,2,,,255000,Si,Perfecto Estado,,
90,Si,108,5,Si,,Individual,,madrid,Si,1,,,Individual,,Gres,,,,,1992,,3,Ladrillo,,10,,,Si,,"50,00 €",91,Si,,,Si,Sureste,,,Mas de 25 Años,,,,3,2,,,255000,,Perfecto Estado,,
91,Si,121,6,,,Individual,,madrid,Si,2,,,Gas Natural,,Parquet,,,,,1976,,2,,,,,,Si,,,110,,Si,,,Suroeste,,,Entre 35 y 50 Años,,,,4,2,,,255000,Si,Perfecto Estado,,
92,,85,,Si,,,,madrid,Si,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,Más de 50 años,,,,2,1,,,255000,,Perfecto Estado,,
93,Si,78,9,Si,,Gas natural,236 KW h/m² año,madrid,Si,2,,,Gas Natural,,Tarima normal,,,,,,,1,,,4,,,Si,,,63,Si,Si,,,Este,,,,,,,3,2,,49 Kg CO2/m² año,259900,,Perfecto Estado,,
94,,69,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Parquet,,,,,1960,,,,,,,,Si,,,57,,,,,Sureste,,,Más de 50 años,,,,3,1,,,263000,Si,Perfecto Estado,,
95,Si,68,,Si,,Individual,,madrid,Si,,Si,,Gas Natural,2,Tarima normal,,,,,,,1,,,,,,Si,,"70,00 €",56,Si,Si,,Si,Sur,,,,,,,2,1,,,264900,,Perfecto Estado,,
96,,82,,Si,,Individual,,madrid,Si,1,,,Gas Natural,,Tarima normal,,,,,,,,,,,,,Si,,,66,,Si,,,Sur,,,Entre 35 y 50 Años,,,,3,1,,,264900,,Perfecto Estado,,
97,,85,,Si,,Gas natural,109 KW h/m² año,madrid,Si,1,Si,,Gas Natural,2,Porcelánico,Si,,Si,,2012,Si,3,Ladrillo,,,,,Si,,,65,Si,,Si,Si,Sur,,,Entre 10 y 15 Años,,Si,,2,2,,21 Kg CO2/m² año,265000,Si,Perfecto Estado,,
98,,86,3,Si,,,,madrid,Si,,,,Individual,1,Parquet,,,,,1987,,,Ladrillo,,12,,,Si,,"190,00 €",,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,269000,,,,
99,Si,120,,Si,,Gas natural,108 KW h/m² año,madrid,Si,1,Si,,Gas Natural,1,Tarima Flotante,,,,,2007,Si,3,Ladrillo,,,Si,,Si,,,93,Si,,,Si,Norte,,,Entre 10 y 15 Años,,Si,,3,2,Si,22 Kg CO2/m² año,269000,Si,Perfecto Estado,,
100,Si,95,,Si,,Gas natural,187 KW h/m² año,madrid,,1,Si,,Gas Natural,1,Parquet,Si,,,,2001,,4,Ladrillo,,,,,Si,,"120,00 €",74,,Si,Si,Si,,,,Entre 20 y 25 Años,,,,3,2,,39 Kg CO2/m² año,275000,,Perfecto Estado,,
101,,109,,Si,,,210 KW h/m² año,madrid,Si,,,,Gas Natural,1,Gres,Si,,,,,Si,,,,,,,Si,,"108,00 €",,,,,,Noreste,,,,,,,3,2,,44 Kg CO2/m² año,276000,,Perfecto Estado,,
102,,128,,Si,,Colectiva,,madrid,Si,1,,,Gas Natural,,Tarima normal,,,,,,,4,Ladrillo,,,,,Si,,,104,Si,,,Si,Este,,,Mas de 25 Años,,,,3,2,,,279000,Si,Perfecto Estado,,
103,Si,91,,Si,,Individual,,madrid,Si,,Si,,Gas Natural,1,Parquet,,,,,,Si,3,,,,,,Si,,,73,Si,Si,,Si,,,,,,,,3,2,,,279900,,Perfecto Estado,,
104,Si,97,4,Si,,Individual,,madrid,Si,1,,,Gas Natural,1,Tarima normal,,,,,,,2,,,4,,,Si,,,78,Si,,,Si,Norte,,,,,,,3,2,,,279900,,Perfecto Estado,,
105,,97,,Si,,Central,,madrid,Si,1,,,Central,,Otros,,,,,,,4,,,,,,Si,,"194,00 €",77,Si,Si,,Si,Sur,,,,,,,4,2,,,279900,,Perfecto Estado,,
106,Si,178,6,,,Individual,,madrid,Si,,,,Individual,2,Tarima normal,Si,,,,2011,,3,,,24,,,Si,,"100,00 €",94,Si,Si,,Si,Sureste,,,Entre 10 y 15 Años,,,,3,2,,,280000,Si,Perfecto Estado,,
107,,120,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,1,Gres,,,,,,,4,,,,,,Si,,,84,Si,,,,Oeste,,,Entre 20 y 25 Años,,,,4,2,,,280000,Si,Perfecto Estado,,
108,,136,2,,,Individual,,madrid,,,,,Eléctrica,1,Tarima Flotante,,,,,1999,,7,,,,,,,,,116,,Si,,Si,Norte,,,Entre 20 y 25 Años,,,,4,3,,,285000,,Perfecto Estado,,
109,,119,,,,Gas natural,,madrid,Si,,,,Gas Natural,,Gres,,,,,1995,,2,Ladrillo,,,,,Si,,"50,00 €",109,,Si,,,Noreste,,,Mas de 25 Años,,,,4,2,,,285000,,A reformar,,
110,,127,,,,Gas natural,,madrid,Si,1,,,Gas Natural,,Tarima normal,,,,,1989,,5,,,,,,,,"67,00 €",101,,Si,,,Sur,,,Entre 35 y 50 Años,,,,4,2,,,285000,,A reformar,,
111,,90,,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Parquet,Si,,,,1996,Si,,Ladrillo,,,,,Si,,,65,Si,,,Si,Sureste,,,Entre 20 y 25 Años,,Si,,2,2,,,285000,Si,Perfecto Estado,,
112,Si,93,9,Si,,,,madrid,Si,1,,,Individual,,Parquet,,,,,1975,Si,3,Ladrillo,,36,,,Si,,"90,00 €",80,Si,Si,,,Suroeste,,,Entre 35 y 50 Años,,Si,,4,2,,,285000,Si,A reformar,,
113,Si,72,5,,,Gas natural,,madrid,Si,,Si,,Individual,,Parquet,Si,,,,1999,,,,,4,,,Si,,"75,00 €",,,Si,,Si,,,,Entre 20 y 25 Años,,,,1,1,,,290000,Si,Perfecto Estado,,
114,,171,,Si,,,,madrid,Si,,,,,,Gres,,,,Si,,,,,,,,,,,,,,,,,Sur,,,Más de 50 años,,,,3,1,,,290000,,A reformar,,
115,,33,,,,Individual,287 KW h/m² año,madrid,,,,,Eléctrica,,Tarima Flotante,Si,,,,1945,,1,Cemento,,,,,Si,,"54,00 €",30,,,,Si,,,,Más de 50 años,,,,1,1,,60 Kg CO2/m² año,292000,Si,Perfecto Estado,,
116,,119,4,Si,,Individual,,madrid,Si,1,Si,,Gas Natural,2,Gres,,,,,2005,Si,1,Ladrillo,,5,,,Si,,,95,Si,,,Si,,,,,,,,3,2,,,294900,,Perfecto Estado,,
117,Si,122,4,Si,,Individual,,madrid,Si,1,,,Individual,1,Terrazo,Si,,,,1995,Si,,Ladrillo,,,,,Si,,"100,00 €",92,,,,,,,,Mas de 25 Años,,Si,,4,2,,,295000,,Depende del precio,,
118,,94,,Si,,Gas natural,,madrid,Si,1,Si,,Gas Natural,1,Parquet,,,,,,Si,4,,,,,,Si,,,75,,Si,,Si,Este,,,Mas de 25 Años,,,,3,2,,,299900,,Perfecto Estado,,
119,,176,,,,Gas natural,,madrid,Si,1,,,Gas Natural,1,Gres,,,,,2003,,3,Ladrillo,,,,,Si,,"70,00 €",99,,Si,,Si,Noroeste,,,Entre 20 y 25 Años,,,,4,2,,,299900,,Perfecto Estado,,
