,,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Salida de humos,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
24,,,217,,Si,,,3.000 KW h/m² año,valencia,Si,1,,,,,1,Parquet,,,,,,,,Cemento,,,,,Si,,,206,Si,Si,,Si,Noreste,,,Menos de 5 Años,,,,4,2,Si,199 Kg CO2/m² año,350000,Si,Perfecto Estado
25,,Si,112,,Si,,,,valencia,Si,,,,Central,,1,Parquet,,,,,2017,,4,Ladrillo,Si,,,,Si,,,108,,Si,,Si,,,,Entre 5 y 10 Años,,,,3,2,,,355000,Si,Perfecto Estado
26,,Si,180,6,Si,,Gas natural,,valencia,Si,1,,,Central,,1,Gres,,,,,2002,,2,Ladrillo,,,,,Si,,"90,00 €",,Si,Si,,Si,Este,,,Entre 20 y 25 Años,,,,2,2,,,400000,Si,Perfecto Estado
27,,,64,,,,,,valencia,Si,,,,,,,,,,,,1958,,,Mono Capa,,8,,,,,,61,,,,,,,,Más de 50 años,,,,3,1,,,45000,,
28,,,52,,Si,,,,valencia,,,,,,,,,,,,,,,,Mono Capa,,,,,,,,,,,,,Sur,,,Más de 50 años,,,,,,,,50000,,
29,,Si,64,,Si,,,,valencia,Si,,,,,,,Baldosa,,,,,,,,,,,,,,,"27,00 €",50,,,,,Noreste,,,Entre 15 y 20 Años,,,,1,1,,,79000,,A reformar
30,,,80,,Si,,,,valencia,,1,,,,,,,,,,,1970,,,Ladrillo,,,,,,,,,,,,,Sur,,,Mas de 25 Años,,,,3,1,,,85000,,
31,,,58,,Si,,Individual,136 KW h/m² año,valencia,Si,1,,,,,,Baldosa,,,,,1960,,,Cemento,,,,,,,,57,,Si,,,Este,,,Más de 50 años,,,,1,1,,28 Kg CO2/m² año,89000,,A reformar
32,,,85,,Si,,Individual,,valencia,,,,,,,,Gres,,,,,,,,Cemento,,,,,,,"5,00 €",80,,Si,,Si,Sureste,,,Entre 35 y 50 Años,,,,2,1,Si,,90000,Si,Perfecto Estado
33,,,73,4,Si,,,,valencia,,,,,,,,Gres,,,,,1969,,,Cemento,,8,,,,,,67,,,,,,,,Más de 50 años,,,,3,1,,,96000,,
34,,,73,4,,,,,valencia,Si,,,,,,,Gres,,,,,1969,,3,Cemento,,,,,,,"20,00 €",67,,Si,,,Este,,,Más de 50 años,,,,3,1,,,98000,Si,Perfecto Estado
35,,,67,,Si,,,,valencia,Si,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,3,1,Si,,103000,Si,Perfecto Estado
36,,,58,5,,,,,valencia,Si,,,,,,,,,,,,1963,,2,,,24,Si,,,,"20,00 €",54,,,,,Oeste,,,Más de 50 años,,,,3,1,Si,,105000,Si,Perfecto Estado
37,,,310,2,Si,Si,Individual,,valencia,Si,1,,,Individual,,,Baldosa,,,,,1887,,,Cemento,,,,,,,,290,,Si,,Si,Noroeste,,,,,,,7,2,Si,,115000,Si,
38,,,58,,,,Individual,,valencia,Si,,,,Eléctrica,,,Tarima Flotante,,,,,1966,,,Mono Capa,,,,,,,,50,,Si,,,Oeste,,,Más de 50 años,,,,1,1,,,115000,Si,Perfecto Estado
39,,Si,115,,Si,,Individual,,valencia,Si,1,,,Individual,,,Porcelánico,,,,,,,,Ladrillo,,,,,Si,,"40,00 €",95,Si,Si,,,Sureste,,,Entre 10 y 15 Años,,,,3,2,Si,,119000,Si,Perfecto Estado
40,,,67,,Si,,,,valencia,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Mas de 25 Años,,,,3,1,,,120000,,
41,,,80,,Si,,,,valencia,Si,1,,,,,,,,,,,,,,,,,,,Si,,,78,,Si,,,,,,,,,,2,1,Si,,125000,Si,Perfecto Estado
42,,,60,,Si,,,,valencia,,,,,,,,Gres,,,,,1958,,1,Cemento,,,,,Si,,,51,,,,,,,,Mas de 25 Años,,,,2,1,,,130000,Si,Perfecto Estado
43,,,92,5,,,Individual,,valencia,Si,,,,,,,Porcelánico,,,,,1964,,,Ladrillo,,5,,,,,,87,,Si,,,Suroeste,,,Mas de 25 Años,,,,4,1,,,130000,Si,Perfecto Estado
44,,,82,4,,,Individual,,valencia,Si,1,,,,,,Gres,,,,,1968,,1,Ladrillo,,,,,,,"10,00 €",78,,Si,,,Noroeste,,,Más de 50 años,,,,3,1,,,135000,Si,Perfecto Estado
45,,,59,4,,,Central,,valencia,Si,,,,,,,Baldosa,,,,,1890,,,,,7,,,,,,57,,,,,Oeste,,,,,,,3,1,,,140000,,A reformar
46,,,148,1,,Si,,,valencia,Si,,Si,,,,1,Baldosa,,,,,1972,Si,,Otros materiales,,,,,,,,104,,,,Si,Sureste,,,Más de 50 años,,,,4,1,Si,,140000,Si,Depende del precio
47,,,65,,Si,Si,Placas Solares,,valencia,Si,,,,,,,Parquet,,,,,,,,,,,,,,,,55,,Si,,Si,,,,Menos de 5 Años,,,,2,1,Si,,140000,Si,Perfecto Estado
48,,Si,109,4,,,Gas natural,,valencia,Si,1,,,,,1,Gres,,,,,1979,,,Ladrillo,,,,,Si,,,108,,,,,Suroeste,,,Mas de 25 Años,,,,3,1,,,150000,,Depende del precio
49,,Si,96,11,,,,,valencia,Si,,,,,,,,,,,,1977,,,Ladrillo,,44,,,Si,,,94,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,150000,,Perfecto Estado
50,,,109,,Si,,Individual,,valencia,Si,1,,,Individual,,,Porcelánico,,,,,,,,Cemento,,,,,Si,,"45,00 €",106,Si,Si,,,Sureste,,,Entre 35 y 50 Años,,,,3,2,,,152000,Si,Perfecto Estado
51,,,75,5,Si,,,,valencia,,,,,,,,Tarima Flotante,,,,,,,,,,,,,Si,,,47,,Si,,Si,,,,,,,,1,1,Si,,155000,Si,Perfecto Estado
52,,,80,2,,Si,,,valencia,Si,1,,,,,,Gres,,,,,1918,,1,Cemento,,2,,,,,,70,,,,,Oeste,,,Más de 50 años,,,,2,1,,,155000,,A reformar
53,,Si,135,,Si,,Individual,,valencia,Si,1,,,Individual,,1,Gres,,,,,,,,Cemento,,,,,Si,,"50,00 €",130,Si,Si,,,Sureste,,,Entre 35 y 50 Años,,,,3,2,Si,,156000,Si,Perfecto Estado
54,,,130,,,Si,Individual,23 KW h/m² año,valencia,Si,,Si,,Eléctrica,,2,Gres,,,,,,Si,,Mono Capa,Si,,,,,,,110,,,,Si,Este,,,Entre 35 y 50 Años,,Si,,4,1,Si,,159000,Si,Perfecto Estado
55,,Si,60,,Si,,Individual,,valencia,Si,1,,,Aerotermia,,1,Parquet,,,,,1970,,4,Ladrillo,,,,,Si,,"40,00 €",59,Si,Si,,,Noreste,,,Más de 50 años,,Si,,1,1,,,162000,,Perfecto Estado
56,,,181,,Si,Si,,,valencia,Si,1,Si,,,,,,,,,,,,,,,,,,,,,180,,,,Si,,,,,,,,4,1,Si,,165000,Si,A reformar
57,,,72,,,,,,valencia,,,,,,,,,,,,,1950,,2,,,,,,,,"25,00 €",55,,Si,,,,,,Más de 50 años,,,,2,1,,,165000,,
58,,Si,93,7,Si,,Individual,,valencia,Si,1,,,,,,Gres,,,,,1972,,1,Cemento,,,,,Si,,,,Si,Si,,,Noroeste,,,Más de 50 años,,,,3,1,,,169000,Si,
59,,,97,7,,,Central,,valencia,Si,1,,,Central,,,Gres,,,,,1984,,1,Ladrillo,,14,,,Si,,,88,Si,Si,,,,,,Más de 50 años,,,,3,1,,,170000,Si,Perfecto Estado
